home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,home_city,destination,haversine_distance,vincenty_distance
25.862,-80.897,53.667,-113.467,miami,edmonton,4492.0018156718925,4093285.73
25.907,-97.426,29.607,-95.159,brownsville,houston,469.7481460675761,466933.83
25.907,-97.426,32.699,-117.215,brownsville,san diego,2118.430489862207,2060513.29
25.907,-97.426,32.82,-97.362,brownsville,fort worth,768.6831227629934,766279.31
25.907,-97.426,33.942,-118.408,brownsville,los angeles,2280.8265476455435,2207501.85
25.907,-97.426,36.776,-119.718,brownsville,fresno,2536.060697859927,2430704.45
25.907,-97.426,37.362,-121.929,brownsville,san jose,2761.944540750728,2637233.78
25.907,-97.426,37.619,-122.375,brownsville,san francisco,2814.707873219958,2684427.38
25.907,-97.426,38.228,-85.664,brownsville,louisville,1805.7558800683732,1757429.21
25.907,-97.426,39.717,-86.294,brownsville,indianapolis,1896.7110165290967,1849242.22
25.907,-97.426,39.872,-75.241,brownsville,philadelphia,2708.238510025717,2577490.59
25.907,-97.426,40.64,-73.779,brownsville,new york,2877.036749288849,2727808.97
25.907,-97.426,41.786,-87.752,brownsville,chicago,2013.326734642364,1972617.9
25.907,-97.426,42.409,-83.01,brownsville,detroit,2333.5895392415064,2255175.04
25.907,-97.426,43.862,-79.37,brownsville,toronto,2692.02749029802,2574836.23
25.907,-97.426,45.517,-73.417,brownsville,montreal,3243.5537143376,3051585.38
25.907,-97.426,45.589,-122.597,brownsville,portland,3335.7590309609604,3129299.03
25.907,-97.426,46.788,-71.398,brownsville,quebec,3488.1947928653167,3261070.67
25.907,-97.426,47.53,-122.302,brownsville,seattle,3459.883543236146,3242088.09
25.907,-97.426,53.667,-113.467,brownsville,edmonton,3478.699479521726,3356788.71
25.907,-80.278,22.149,113.591,miami,macau,19394.796941906367,14482755.4
25.907,-80.278,30.494,-81.688,miami,jacksonville,529.1663873437507,526838.86
25.907,-80.278,31.849,-106.38,miami,el paso,2692.96178496462,2622943.48
25.907,-80.278,32.847,-96.852,miami,dallas,1828.495006256422,1780520.32
25.907,-80.278,33.535,-112.383,miami,phoenix,3321.188284187428,3205063.07
25.907,-80.278,33.942,-118.408,miami,los angeles,3916.9179473408335,3765109.46
25.907,-80.278,36.124,-86.678,miami,nashville,1303.9569078077486,1286264.52
25.907,-80.278,39.872,-75.241,miami,philadelphia,1632.449727153444,1618127.96
25.907,-80.278,39.998,-82.892,miami,columbus,1588.442037090642,1581556.56
25.907,-80.278,40.64,-73.779,miami,new york,1762.411298221411,1741261.71
25.907,-80.278,41.786,-87.752,miami,chicago,1917.3148912178883,1890329.26
25.907,-80.278,42.409,-83.01,miami,detroit,1855.091908730697,1847505.24
25.907,-80.278,43.862,-79.37,miami,toronto,1998.4809655913732,1993651.42
25.907,-80.278,45.517,-73.417,miami,montreal,2285.86937866447,2260540.87
25.907,-80.278,45.589,-122.597,miami,portland,4764.92680566015,4337522.7
25.907,-80.278,47.53,-122.302,miami,seattle,4842.192132044669,4378237.09
25.907,-80.278,50.056,-97.032,miami,winnipeg,3165.099852736104,3042060.47
25.907,-80.278,51.114,-114.02,miami,calgary,4386.879625795476,3997721.94
27.544,-99.461,28.429,-81.316,laredo,orlando,1791.603608523674,1786005.32
27.544,-99.461,29.529,-98.279,laredo,san antonio,249.5869255808178,248550.29
27.544,-99.461,29.607,-95.159,laredo,houston,482.1866617395879,478919.41
27.544,-99.461,30.194,-97.67,laredo,austin,343.5094408102451,341739.22
27.544,-99.461,32.847,-96.852,laredo,dallas,643.3021016060504,639232.42
27.544,-99.461,33.535,-112.383,laredo,phoenix,1437.6149889775063,1405049.19
27.544,-99.461,33.942,-118.408,laredo,los angeles,1998.8456694862064,1944234.71
27.544,-99.461,35.214,-80.943,laredo,charlotte,2015.0424377713,1951653.62
27.544,-99.461,36.124,-86.678,laredo,nashville,1580.633395480134,1536822.72
27.544,-99.461,37.619,-122.375,laredo,san francisco,2521.5741017778764,2415021.43
27.544,-99.461,38.852,-77.037,laredo,washington,2543.2977579638514,2428032.71
27.544,-99.461,39.175,-76.668,laredo,baltimore,2592.7093879254744,2471972.95
27.544,-99.461,39.717,-86.294,laredo,indianapolis,1875.400662618111,1816694.58
27.544,-99.461,39.872,-75.241,laredo,philadelphia,2753.303255290267,2615653.8
27.544,-99.461,40.64,-73.779,laredo,new york,2920.8224769420704,2763909.7
27.544,-99.461,41.786,-87.752,laredo,chicago,1959.6632772845269,1905855.5
27.544,-99.461,42.947,-87.896,laredo,milwaukee,2057.479015489008,2002582.55
27.544,-99.461,43.862,-79.37,laredo,toronto,2686.1545657033616,2552498.95
27.544,-99.461,45.323,-75.669,laredo,ottawa,3067.558112367035,2885043.39
27.544,-99.461,45.517,-73.417,laredo,montreal,3253.693823647264,3043925.57
27.544,-99.461,46.788,-71.398,laredo,quebec,3497.5920519761994,3250779.82
27.544,-99.461,47.53,-122.302,laredo,seattle,3163.747801495599,2976604.46
27.544,-99.461,49.195,-123.182,laredo,vancouver,3356.2855269167885,3146566.6
27.544,-99.461,53.667,-113.467,laredo,edmonton,3216.133137200428,3120659.06
27.765,-82.627,29.529,-98.279,st. petersburg,san antonio,1552.4415163847762,1541499.92
27.765,-82.627,30.194,-97.67,st. petersburg,austin,1504.521701573981,1489391.77
27.765,-82.627,30.494,-81.688,st. petersburg,jacksonville,317.1906610298408,315974.16
27.765,-82.627,33.942,-118.408,st. petersburg,los angeles,3586.8659760644987,3472144.1
27.765,-82.627,35.214,-80.943,st. petersburg,charlotte,844.6644331361376,841244.27
27.765,-82.627,38.228,-85.664,st. petersburg,louisville,1201.142404552519,1194398.23
27.765,-82.627,39.717,-86.294,st. petersburg,indianapolis,1377.0487293403753,1368199.4
27.765,-82.627,39.872,-75.241,st. petersburg,philadelphia,1529.8037210746063,1505561.3
27.765,-82.627,39.998,-82.892,st. petersburg,columbus,1360.437146646605,1357126.81
27.765,-82.627,40.64,-73.779,st. petersburg,new york,1675.4888230885192,1642444.36
27.765,-82.627,41.786,-87.752,st. petersburg,chicago,1638.5153422980538,1623826.93
27.765,-82.627,42.409,-83.01,st. petersburg,detroit,1628.702359983496,1625038.14
27.765,-82.627,43.234,-75.407,st. petersburg,rome,1860.9212672136005,1835224.3
27.765,-82.627,43.862,-79.37,st. petersburg,toronto,1818.2869424411963,1809774.3
27.765,-82.627,45.517,-73.417,st. petersburg,montreal,2171.91441838162,2131720.44
27.765,-82.627,45.589,-122.597,st. petersburg,portland,4403.802374390956,4026270.07
27.765,-82.627,46.788,-71.398,st. petersburg,quebec,2386.328726773348,2328727.42
27.765,-82.627,50.056,-97.032,st. petersburg,winnipeg,2855.1544093493326,2760982.1
27.765,-82.627,51.114,-114.02,st. petersburg,calgary,4034.917682434605,3693166.56
27.77,-97.501,25.069,121.552,corpus christi,taipei,21553.7416636959,12823501.79
27.77,-97.501,29.529,-98.279,corpus christi,san antonio,210.0280199787853,209260.7
27.77,-97.501,30.194,-97.67,corpus christi,austin,270.03694341373813,269169.6
27.77,-97.501,32.699,-117.215,corpus christi,san diego,2015.516559988032,1971304.23
27.77,-97.501,32.82,-97.362,corpus christi,fort worth,561.6760101523182,559991.29
27.77,-97.501,32.847,-96.852,corpus christi,dallas,568.1113327601939,566272.9
27.77,-97.501,33.535,-112.383,corpus christi,phoenix,1598.3425560073429,1560977.49
27.77,-97.501,33.942,-118.408,corpus christi,los angeles,2168.406940717058,2108846.69
27.77,-97.501,35.214,-80.943,corpus christi,charlotte,1827.2785119515893,1773136.28
27.77,-97.501,35.393,-97.601,corpus christi,oklahoma city,847.6584687152039,845293.39
27.77,-97.501,36.776,-119.718,corpus christi,fresno,2404.2912457116795,2311454.4
27.77,-97.501,38.781,-9.136,corpus christi,lisbon,8779.622815845807,8005224.91
27.77,-97.501,39.175,-76.668,corpus christi,baltimore,2410.2415668159038,2304053.08
27.77,-97.501,39.858,-104.667,corpus christi,denver,1517.754408081519,1494636.34
27.77,-97.501,39.872,-75.241,corpus christi,philadelphia,2570.422081893906,2448440.11
27.77,-97.501,39.998,-82.892,corpus christi,columbus,1978.5020028149677,1909641.47
27.77,-97.501,40.64,-73.779,corpus christi,new york,2737.682065192784,2597679.84
27.77,-97.501,41.786,-87.752,corpus christi,chicago,1829.9512252426337,1789884.69
27.77,-97.501,43.862,-79.37,corpus christi,toronto,2526.564637701053,2412415.41
27.77,-97.501,45.323,-75.669,corpus christi,ottawa,2902.2244309722,2742110.74
27.77,-97.501,45.517,-73.417,corpus christi,montreal,3083.582730919149,2897113.68
27.77,-97.501,46.788,-71.398,corpus christi,quebec,3326.712587206012,3105458.47
27.77,-97.501,47.53,-122.302,corpus christi,seattle,3283.4744190618712,3072248.13
27.77,-97.501,50.056,-97.032,corpus christi,winnipeg,2478.4099187603315,2474443.98
27.77,-97.501,53.667,-113.467,corpus christi,edmonton,3280.0815206069237,3159794.75
27.849,-82.521,22.309,113.914,tampa,hong kong,19322.13853976307,14182514.17
27.849,-82.521,29.529,-98.279,tampa,san antonio,1560.4535816301816,1550010.03
27.849,-82.521,30.194,-97.67,tampa,austin,1512.0108193836188,1497311.84
27.849,-82.521,30.494,-81.688,tampa,jacksonville,305.2871705406093,304157.26
27.849,-82.521,31.849,-106.38,tampa,el paso,2387.467357384343,2342771.17
27.849,-82.521,32.699,-117.215,tampa,san diego,3453.2739152751083,3366129.23
27.849,-82.521,32.847,-96.852,tampa,dallas,1514.576053885414,1483444.32
27.849,-82.521,33.535,-112.383,tampa,phoenix,3003.1561436624406,2918917.42
27.849,-82.521,35.042,-89.977,tampa,memphis,1084.8943090414707,1066210.81
27.849,-82.521,35.214,-80.943,tampa,charlotte,833.4800482206838,830223.71
27.849,-82.521,36.08,-115.152,tampa,las vegas,3336.0771446549666,3199764.1
27.849,-82.521,36.776,-119.718,tampa,fresno,3789.30015584702,3615073.26
27.849,-82.521,37.362,-121.929,tampa,san jose,4016.154494078715,3816342.31
27.849,-82.521,37.619,-122.375,tampa,san francisco,4066.01212787454,3857842.69
27.849,-82.521,38.228,-85.664,tampa,louisville,1194.693380888585,1187721.13
27.849,-82.521,38.852,-77.037,tampa,washington,1336.9564079427048,1322103.18
27.849,-82.521,39.998,-82.892,tampa,columbus,1351.339648104979,1348031.48
27.849,-82.521,40.64,-73.779,tampa,new york,1661.7507419458452,1629385.69
27.849,-82.521,41.786,-87.752,tampa,chicago,1632.7631050843854,1617659.45
27.849,-82.521,42.409,-83.01,tampa,detroit,1619.640067512767,1615965.78
27.849,-82.521,43.173,-79.935,tampa,hamilton,1722.7390826878636,1716095.41
27.849,-82.521,43.862,-79.37,tampa,toronto,1807.2345767003312,1799053.27
27.849,-82.521,45.323,-75.669,tampa,ottawa,2056.4031847700467,2031823.34
27.849,-82.521,49.195,-123.182,tampa,vancouver,4649.053863149768,4189509.51
27.849,-82.521,50.056,-97.032,tampa,winnipeg,2851.704358562084,2756386.39
27.849,-82.521,53.667,-113.467,tampa,edmonton,4182.976750111347,3820885.63
27.911,-82.687,-6.266,106.891,st. petersburg,jakarta,19011.188941789736,17407930.32
27.911,-82.687,29.529,-98.279,st. petersburg,san antonio,1542.5621554677334,1532682.62
27.911,-82.687,29.607,-95.159,st. petersburg,houston,1239.895526663839,1231848.76
27.911,-82.687,30.494,-81.688,st. petersburg,jacksonville,303.51490367273004,302326.9
27.911,-82.687,32.166,-110.883,st. petersburg,tucson,2810.582712578105,2751941.61
27.911,-82.687,32.699,-117.215,st. petersburg,san diego,3434.1611707550637,3348465.91
27.911,-82.687,32.82,-97.362,st. petersburg,fort worth,1541.7855513568218,1510304.92
27.911,-82.687,32.847,-96.852,st. petersburg,dallas,1496.123468062511,1465731.36
27.911,-82.687,33.535,-112.383,st. petersburg,phoenix,2984.11879992958,2901209.36
27.911,-82.687,33.942,-118.408,st. petersburg,los angeles,3573.352281332367,3460998.74
27.911,-82.687,35.214,-80.943,st. petersburg,charlotte,829.9049292022864,826461.85
27.911,-82.687,35.393,-97.601,st. petersburg,oklahoma city,1685.0941602056728,1637082.46
27.911,-82.687,37.362,-121.929,st. petersburg,san jose,3996.465666121465,3798642.66
27.911,-82.687,37.619,-122.375,st. petersburg,san francisco,4046.292258091181,3840150.97
27.911,-82.687,39.858,-104.667,st. petersburg,denver,2535.5357606305606,2416475.48
27.911,-82.687,39.872,-75.241,st. petersburg,philadelphia,1517.9027037337346,1493439.57
27.911,-82.687,40.08,116.584,st. petersburg,beijing,19626.62183495599,12218676.28
27.911,-82.687,40.64,-73.779,st. petersburg,new york,1664.1201381563103,1630827.45
27.911,-82.687,41.786,-87.752,st. petersburg,chicago,1621.046982217826,1606660.27
27.911,-82.687,42.947,-87.896,st. petersburg,milwaukee,1748.4440239605733,1733066.48
27.911,-82.687,43.862,-79.37,st. petersburg,toronto,1803.2892201895595,1794652.31
27.911,-82.687,45.517,-73.417,st. petersburg,montreal,2159.1406529370784,2118569.0
27.911,-82.687,45.589,-122.597,st. petersburg,portland,4386.520246574537,4011311.4
27.911,-82.687,46.788,-71.398,st. petersburg,quebec,2374.0088703074503,2315958.66
27.911,-82.687,49.195,-123.182,st. petersburg,vancouver,4629.543882726087,4173174.39
27.911,-82.687,51.114,-114.02,st. petersburg,calgary,4016.7847228398414,3676673.43
27.975,-82.533,29.607,-95.159,tampa,houston,1253.076643934599,1245276.57
27.975,-82.533,32.82,-97.362,tampa,fort worth,1552.655054857892,1521152.48
27.975,-82.533,32.847,-96.852,tampa,dallas,1506.8613532197626,1476430.14
27.975,-82.533,33.535,-112.383,tampa,phoenix,2995.740789218631,2913078.92
27.975,-82.533,34.446,108.752,tampa,xi'an,18797.88289318736,12994436.34
27.975,-82.533,35.214,-80.943,tampa,charlotte,819.9085184993082,816685.11
27.975,-82.533,35.339,25.18,tampa,heraklion,10609.016783613572,9693996.14
27.975,-82.533,35.393,-97.601,tampa,oklahoma city,1694.0291077137792,1645691.12
27.975,-82.533,37.619,-122.375,tampa,san francisco,4056.755782292535,3850538.15
27.975,-82.533,39.717,-86.294,tampa,indianapolis,1356.8259563553916,1347771.96
27.975,-82.533,39.998,-82.892,tampa,columbus,1337.3021250872716,1334044.58
27.975,-82.533,40.64,-73.779,tampa,new york,1649.868747136043,1617522.64
27.975,-82.533,42.364,-71.005,tampa,boston,1959.9098984491436,1906740.03
27.975,-82.533,42.409,-83.01,tampa,detroit,1605.599869778039,1601977.56
27.975,-82.533,43.173,-79.935,tampa,hamilton,1709.0153059839795,1702388.8
27.975,-82.533,43.862,-79.37,tampa,toronto,1793.575045691092,1785403.98
27.975,-82.533,45.323,-75.669,tampa,ottawa,2043.3014515694897,2018694.59
27.975,-82.533,46.788,-71.398,tampa,quebec,2360.368288314688,2303682.55
27.975,-82.533,47.53,-122.302,tampa,seattle,4469.791081313328,4058020.71
27.975,-82.533,49.195,-123.182,tampa,vancouver,4636.895642420956,4178701.82
27.975,-82.533,50.056,-97.032,tampa,winnipeg,2838.156916221956,2743047.54
27.975,-82.533,51.114,-114.02,tampa,calgary,4022.4319357532136,3680117.48
27.975,-82.533,53.667,-113.467,tampa,edmonton,4169.934691903535,3808512.29
28.429,-81.316,30.494,-81.688,orlando,jacksonville,232.47086578995757,231718.16
28.429,-81.316,31.849,-106.38,orlando,el paso,2480.1658002242016,2438954.36
28.429,-81.316,32.166,-110.883,orlando,tucson,2920.8646454172926,2865154.14
28.429,-81.316,32.847,-96.852,orlando,dallas,1596.610295855967,1565948.88
28.429,-81.316,33.942,-118.408,orlando,los angeles,3678.413025799592,3568357.81
28.429,-81.316,35.393,-97.601,orlando,oklahoma city,1770.6842064824875,1719892.08
28.429,-81.316,36.776,-119.718,orlando,fresno,3868.068254579061,3695216.07
28.429,-81.316,37.362,-121.929,orlando,san jose,4093.601088529443,3894890.43
28.429,-81.316,37.619,-122.375,orlando,san francisco,4142.878215562767,3935605.69
28.429,-81.316,38.228,-85.664,orlando,louisville,1169.565491085583,1159360.69
28.429,-81.316,38.852,-77.037,orlando,washington,1232.1515238707927,1221921.41
28.429,-81.316,39.858,-104.667,orlando,denver,2613.147147324086,2487617.55
28.429,-81.316,39.872,-75.241,orlando,philadelphia,1404.1876755970795,1386540.75
28.429,-81.316,40.64,-73.779,orlando,new york,1544.8685790157542,1519568.47
28.429,-81.316,41.786,-87.752,orlando,chicago,1613.001807814449,1592563.64
28.429,-81.316,42.409,-83.01,orlando,detroit,1563.237066032278,1558598.67
28.429,-81.316,43.862,-79.37,orlando,toronto,1726.51343119642,1721295.33
28.429,-81.316,45.445,9.277,orlando,milan,9058.276733704091,7861727.66
28.429,-81.316,46.788,-71.398,orlando,quebec,2259.9995346683136,2213597.33
28.429,-81.316,47.53,-122.302,orlando,seattle,4535.716159566344,4111425.51
28.429,-81.316,50.056,-97.032,orlando,winnipeg,2853.8130768580004,2745018.41
28.545,-81.333,29.529,-98.279,orlando,san antonio,1658.8283503686878,1652748.08
28.545,-81.333,29.607,-95.159,orlando,houston,1355.6200808930062,1350531.19
28.545,-81.333,30.194,-97.67,orlando,austin,1606.230790883371,1595263.5
28.545,-81.333,32.166,-110.883,orlando,tucson,2914.2693491003392,2860098.73
28.545,-81.333,32.699,-117.215,orlando,san diego,3535.111311142915,3454593.31
28.545,-81.333,33.942,-118.408,orlando,los angeles,3670.718929110967,3562548.71
28.545,-81.333,35.214,-80.943,orlando,charlotte,742.5039360059773,740411.69
28.545,-81.333,36.776,-119.718,orlando,fresno,3859.375374541098,3688380.94
28.545,-81.333,37.362,-121.929,orlando,san jose,4084.645916938739,3887885.67
28.545,-81.333,38.228,-85.664,orlando,louisville,1156.7797180982886,1146678.52
28.545,-81.333,39.872,-75.241,orlando,philadelphia,1392.9417704192267,1375275.83
28.545,-81.333,39.998,-82.892,orlando,columbus,1282.5311756986089,1278487.79
28.545,-81.333,40.64,-73.779,orlando,new york,1533.954530751447,1508633.59
28.545,-81.333,41.786,-87.752,orlando,chicago,1600.211120306105,1579906.49
28.545,-81.333,46.788,-71.398,orlando,quebec,2248.6132706282783,2202127.47
28.545,-81.333,47.53,-122.302,orlando,seattle,4524.329706091647,4101532.92
28.545,-81.333,49.195,-123.182,orlando,vancouver,4688.363514863946,4217039.52
29.384,-98.581,29.607,-95.159,san antonio,houston,332.47512673145854,332740.32
29.384,-98.581,30.122,31.406,san antonio,cairo,12594.391011655449,11559669.98
29.384,-98.581,30.194,-97.67,san antonio,austin,126.10368917408924,125779.06
29.384,-98.581,31.849,-106.38,san antonio,el paso,803.7987898746401,795918.87
29.384,-98.581,32.166,-110.883,san antonio,tucson,1231.396268691583,1216556.21
29.384,-98.581,32.699,-117.215,san antonio,san diego,1842.6452799887504,1813861.88
29.384,-98.581,32.847,-96.852,san antonio,dallas,419.9127645083587,417851.12
29.384,-98.581,33.535,-112.383,san antonio,phoenix,1414.6535544115516,1388791.79
29.384,-98.581,33.942,-118.408,san antonio,los angeles,1986.718854423402,1943525.01
29.384,-98.581,35.214,-80.943,san antonio,charlotte,1827.7201741207484,1779374.4
